name	code
Vancouver Landfill Aerial Mapping	PRJ21079
Salmon Arm Landfill LFG Quality Investigation	PRJ21080
KRRC Lateral Expansion Design - Preliminary Design	PRJ21081K
Woodfibre Landfill Closure (2022)	PRJ21082
RDEK Central Subregion Landfill DOCP Update and Conformance Review	PRJ21083K
Creston Site Visit and Operations Discussion	PRJ21084K
Squamish LF Active Phase Fire Response	PRJ21085
Invermere Transfer Station Design - simplified z-wall	PRJ21086K
Squamish LFG O&M Manual and Operation Training	PRJ21087
Gibraltar Mine Landfill LFG Investigations and Training	PRJ21088
Quesnel Landfill DOCP	PRJ21089K
BRAR Crest Expansion	PRJ21090
DSS Stormwater Pond Conversion	PRJ21091
Mission Flats Landfill - Access Road Design & Layout	PRJ21092K
Lillooet Landfill DOCP	PRJ21093K
Karan Sidhu Proposed Industrial Development	PRJ21094
Strawberry Hill Waste Facility Detailed Design	PRJ21095K
TteS Landfill Closure Plan Update	PRJ21096K
Boundary Consulting Services Ltd.	PRJ21097
11 Mile Quarry with Ralph McRae	PRJ21098
Drafting Support for Matcon	PRJ21099
Domtar Landfill Inclinometer Monitoring	PRJ21100K
Squamish LF Optimization - DOCP Fill Plan and Capital Plan Update	PRJ21101
Skway LFG Flare Service 2021	PRJ21102
Lillooet Annual Report 2021	PRJ21103K
NCRD Solid Waste Management Plan Update	PRJ21104
Calgary Ocean Trailer Stormwater Design	PRJ21105
Squamish Active LFG System Operation Support 2021	PRJ21106
Alberni Valley and West Coast Landfill	PRJ21107
Salmon Arm Landfill - Detailed Volumetric Tracking	PRJ21108
RDEK Engineering Support 2022	PRJ22001
Squamish Landfill LFG System Operation & Monitoring Support 2022	PRJ22002
Mission Flats LFG System Expansion	PRJ22003
Quesnel Landfill Annual Report - 2021	PRJ22004
Summerland Sanitary Landfill Annual Report - 2021	PRJ22005
MFL LFG Monitoring and Support 2022	PRJ22006
MFL Cost Savings From Organics Diversion Programs	PRJ22007
Gibraltar ICIP Grant Application Support	PRJ22008
Salmon Arm Landfill - Engineering Support 2022	PRJ22009
